system:index,KOTA,mean,nama,.geo
0,Jakarta,0.14632132974939902,Jakarta,"{""type"":""Polygon"",""coordinates"":[[[106.8272,-6.085111340485178],[106.80192237988537,-6.088692295497081],[106.77865590813933,-6.099150253233091],[106.75925193903032,-6.115653128463532],[106.74525486888326,-6.136887778765768],[106.73777925378897,-6.161164380334717],[106.73742097292515,-6.186550796462127],[106.74420954335906,-6.211026286909539],[106.75760545922847,-6.232642351330132],[106.77654286413046,-6.249677907120039],[106.79951424669196,-6.260776426258975],[106.82469046569254,-6.265054071675584],[106.850066543673,-6.26217017562365],[106.87362156282147,-6.252354409847069],[106.89347983980791,-6.2363884676714605],[106.90806045111844,-6.215543727769068],[106.91620313683651,-6.191479898059059],[106.91726054258567,-6.1661127569090155],[106.9111494953069,-6.141461565307083],[106.89835731244723,-6.119488324001531],[106.87990273981372,-6.101941672593517],[106.85725471062942,-6.090217832132682],[106.83221543660704,-6.085249618277443],[106.8272,-6.085111340485178]]]}"
1,Surabaya,,Surabaya,"{""type"":""Polygon"",""coordinates"":[[[112.7521,-7.167511340485177],[112.72676681254832,-7.171092189933844],[112.70344902451605,-7.1815498639060245],[112.68400195648589,-7.19805236568521],[112.66997340758938,-7.219286669351938],[112.66248051108458,-7.243563059260079],[112.66212067030212,-7.268949464768719],[112.6689237058211,-7.293425148982715],[112.68234911452821,-7.315041551106198],[112.70132877322739,-7.332077483140447],[112.72435178935196,-7.343176299616898],[112.74958480074064,-7.347454070635057],[112.77501813985825,-7.344570089233031],[112.79862615593686,-7.33475405380313],[112.8185288212209,-7.318787741858635],[112.8331416414227,-7.297942647502323],[112.8413018553969,-7.2738785892816065],[112.84236085657892,-7.248511416860225],[112.83623552373552,-7.223860400955589],[112.82341447021656,-7.2018874874670775],[112.80491882915405,-7.184341213703485],[112.78222079471324,-7.172617682899411],[112.75712645616862,-7.167649614121617],[112.7521,-7.167511340485177]]]}"
2,Yogyakarta,0.3369536544536432,Yogyakarta,"{""type"":""Polygon"",""coordinates"":[[[110.3695,-7.71141134048518],[110.34413537567258,-7.714992136703961],[110.3207885659105,-7.725449667588207],[110.30131714138265,-7.741951981051751],[110.28727082586617,-7.76318610992042],[110.27976820305237,-7.7874623930886315],[110.2794075257764,-7.812848793234029],[110.28621877210801,-7.837324575151875],[110.29966086350778,-7.858941147566927],[110.31866438982378,-7.875977269332946],[110.34171654961551,-7.887076235752564],[110.3669816046651,-7.8913540701103315],[110.39244725088454,-7.888470045667073],[110.41608517716023,-7.87865387425447],[110.43601291107893,-7.862687375842924],[110.45064394390421,-7.841842102746927],[110.45881409650747,-7.817777929301138],[110.4598740437343,-7.7924107411191],[110.45374067969024,-7.767759813819926],[110.44090333748036,-7.745787065641037],[110.42238449202978,-7.728240982308284],[110.39965818045731,-7.716517607649012],[110.37453269076202,-7.711549612026062],[110.3695,-7.71141134048518]]]}"
3,Bandung,0.32892172069701336,Bandung,"{""type"":""Polygon"",""coordinates"":[[[107.6191,-6.82751134048518],[107.59378526700932,-6.831092223143494],[107.57048451872859,-6.841549986386602],[107.55105175672816,-6.858052605652813],[107.53703365016828,-6.8792870183716515],[107.52954647856829,-6.903563474870234],[107.52918714271802,-6.928949883721975],[107.53598536645485,-6.953425506978648],[107.54940098106907,-6.975041802860818],[107.56836661748217,-6.992077616527158],[107.59137250490939,-7.003176339459414],[107.61658667960573,-7.0074540709624165],[107.64200102685449,-7.004570116412155],[107.66559146281395,-6.994754165816915],[107.68547939879588,-6.978787970203326],[107.70008152477692,-6.957942987358537],[107.70823591113023,-6.933879001025928],[107.7092943700579,-6.908511838440129],[107.70317376710449,-6.883860767258982],[107.69036228905966,-6.861887750638352],[107.67188027871838,-6.844341358068358],[107.64919884779816,-6.832617729847445],[107.62412279636506,-6.827649615429019],[107.6191,-6.82751134048518]]]}"
4,Medan,0.2822611882803203,Medan,"{""type"":""Polygon"",""coordinates"":[[[98.6722,3.685188659514821],[98.64701299471115,3.6816067616617456],[98.62383143825578,3.671146269601426],[98.60450096687228,3.654640059369009],[98.59056037062192,3.6334023140568656],[98.58311908110997,3.6091238232861107],[98.58276893894383,3.5837373133416093],[98.5895372375462,3.5592635537894957],[98.60288473107755,3.5376505048603692],[98.62174870862286,3.520618308116683],[98.64462766073459,3.509522443279515],[98.66970077785157,3.505245919036383],[98.69497277667311,3.5081290532201823],[98.71843256016496,3.517942411863031],[98.73821313118833,3.5339050528871354],[98.75274008140434,3.554746627858226],[98.7608568735945,3.5788084165439322],[98.7619169586337,3.604175277480905],[98.75583537917753,3.62882803707449],[98.74309571114412,3.6508042052300103],[98.72471173491839,3.6683542289968774],[98.7021468345874,3.6800808349927085],[98.6771975087048,3.685050344604251],[98.6722,3.685188659514821]]]}"
5,Makassar,0.0013274577209110006,Makassar,"{""type"":""Polygon"",""coordinates"":[[[119.4124,-5.045411340485179],[119.38716706494463,-5.04899239649511],[119.36394188503546,-5.059450625720691],[119.34457264038114,-5.075953858241717],[119.33060098972845,-5.097188840168199],[119.3231393977887,-5.12146564421798],[119.32278248619512,-5.146852070483301],[119.32955949245807,-5.171327375538236],[119.342931684622,-5.192943116875329],[119.36183501783987,-5.209978312721406],[119.38476470978152,-5.221076547410618],[119.40989504327312,-5.225354072670993],[119.43522485442553,-5.22247025826882],[119.45873707464311,-5.21265475045699],[119.4785595470877,-5.196689162028549],[119.49311423393056,-5.175844761232623],[119.50124287933586,-5.151781150152671],[119.50229911050229,-5.12641403894086],[119.49619967780394,-5.101762679266348],[119.48343082315027,-5.079789124342921],[119.46500935054276,-5.06224211163449],[119.44240156613202,-5.050517974912037],[119.41740657597123,-5.045549622253553],[119.4124,-5.045411340485179]]]}"
6,Palembang,,Palembang,"{""type"":""Polygon"",""coordinates"":[[[104.74580000000002,-2.9009113404851794],[104.72063264324737,-2.904492603869325],[104.69746815548679,-2.9149513905230973],[104.67815011549156,-2.931455356619433],[104.66421616008239,-2.952691019390342],[104.65677561471774,-2.9769682391028494],[104.65642113754397,-3.002354686117525],[104.66318142451068,-3.0268296104982806],[104.67651877566104,-3.0484446885101897],[104.69537176287912,-3.0654791453915666],[104.7182396459619,-3.0765767961234554],[104.74330184276175,-3.0808540747144693],[104.76856294144375,-3.077970427931288],[104.79201168208525,-3.0681554497026045],[104.811781204852,-3.052190587511746],[104.82629775942591,-3.0313468829290025],[104.83440600404836,-3.0072837207560554],[104.83546091251948,-2.981916671073955],[104.82937899375135,-2.9572649663855235],[104.81664478756467,-2.935290767594581],[104.79827216678638,-2.9177430130837645],[104.77572356458414,-2.90601826807333],[104.7507935755821,-2.901049630417533],[104.74580000000002,-2.9009113404851794]]]}"
7,Samarinda,0.33558604119492663,Samarinda,"{""type"":""Polygon"",""coordinates"":[[[117.1486,-0.4104113404851797],[117.12346431741686,-0.41399284375416234],[117.10032936652951,-0.424452275212568],[117.08103663915625,-0.4409570898357557],[117.06712181919667,-0.462193540083076],[117.05969254931864,-0.48647124048690027],[117.05934025872828,-0.5118577113926429],[117.06609306949908,-0.5363321953913043],[117.07941353330945,-0.5579465061639934],[117.09824138637285,-0.5749801083821493],[117.12107792901112,-0.5860770837575809],[117.14610532096238,-0.5903540770777151],[117.17133129823826,-0.5874706241439958],[117.19474778635144,-0.5776562583834253],[117.21449077325836,-0.5616922361270021],[117.22898870455727,-0.540849336808702],[117.23708758164854,-0.5167866939271882],[117.23814280531484,-0.4914197155199815],[117.2320704607653,-0.4667676118649512],[117.21935397155508,-0.4447926683804132],[117.20100560102979,-0.4272440558361465],[117.17848586990203,-0.41551860719358863],[117.15358730399873,-0.41054963986144566],[117.1486,-0.4104113404851797]]]}"
8,Kendari,0.5004231762245531,Kendari,"{""type"":""Polygon"",""coordinates"":[[[122.5165,-3.901711340485178],[122.49130647398553,-3.9052925072249662],[122.46811774475484,-3.915751034097073],[122.44877921384958,-3.9322546583244002],[122.4348301240784,-3.9534900038061855],[122.42738107011628,-3.9777670298174455],[122.42702552142129,-4.0031534671732185],[122.43379242097028,-4.027628568965632],[122.44714368141632,-4.049243956104876],[122.46601684028138,-4.066278757357155],[122.48890953560694,-4.077376680220702],[122.51399911019031,-4.081654073762189],[122.53928782022938,-4.078770348866863],[122.5627620502265,-4.068955123845959],[122.58255279791555,-4.0529899232161615],[122.59708458965181,-4.032145894180879],[122.6052009271717,-4.008082522799203],[122.60625626902603,-3.982715444432014],[122.60016725088121,-3.958063900519759],[122.58741912090215,-3.936090001784386],[122.56902694078957,-3.91854259297569],[122.54645469337851,-3.906818131448968],[122.52149876268514,-3.9018496266127993],[122.5165,-3.901711340485178]]]}"
9,Manado,0.32134139697326913,Manado,"{""type"":""Polygon"",""coordinates"":[[[124.8428,1.5647886595148202],[124.81765563974037,1.561206966146301],[124.79451300584707,1.5507470237149266],[124.77521441077904,1.5342415367071722],[124.76129605447711,1.5130044624956334],[124.75386573469731,1.4887263812659597],[124.75351470189221,1.46333989151217],[124.76027066163702,1.4388657565211822],[124.7735956432502,1.4172520536972883],[124.79242888108413,1.400219128651953],[124.81527127842817,1.3891226883567909],[124.84030472455662,1.3848459210499522],[124.86553677208651,1.3877292204016705],[124.88895917165341,1.3975431009107862],[124.90870766256732,1.4135064576712606],[124.92321031855771,1.4343487189214879],[124.93131265485756,1.4584109502783411],[124.9323695448277,1.4837778721275303],[124.92629662563745,1.5084302918446282],[124.91357708627139,1.530405825382841],[124.8952232751258,1.5479551178374749],[124.87269616005003,1.5596811240671662],[124.84778903612073,1.56465035265458],[124.8428,1.5647886595148202]]]}"
10,Semarang,0.2611928320694727,Semarang,"{""type"":""Polygon"",""coordinates"":[[[110.41440000000001,-6.903211340485181],[110.38908123764917,-6.906792215753633],[110.36577676868006,-6.917249959132063],[110.3463408825252,-6.933752552254974],[110.33232049507366,-6.9549869407075615],[110.32483207241287,-6.979263382388579],[110.32447262533104,-7.004649790496607],[110.33127189909233,-7.029125427317646],[110.34468965221346,-7.050741746840657],[110.36365835105828,-7.067777586846135],[110.38666797982546,-7.078876330593724],[110.41188626918402,-7.083154070889575],[110.43730476501376,-7.080270110364302],[110.46089904097937,-7.070454140891772],[110.48079019390374,-7.054487919392334],[110.49539465506868,-7.033642911734001],[110.50355031335563,-7.009578909404726],[110.50460888975043,-6.984211744630121],[110.49848725298362,-6.959560685748946],[110.48567368326677,-6.937587692077228],[110.46718869614628,-6.920041325944102],[110.44450363972283,-6.9083177194004985],[110.4194235954418,-6.903349615138094],[110.41440000000001,-6.903211340485181]]]}"
11,Denpasar,0.12289417579072827,Denpasar,"{""type"":""Polygon"",""coordinates"":[[[115.21910000000001,-8.58051134048518],[115.19368021760272,-8.584092051358956],[115.17028249980181,-8.594549352824783],[115.15076837279368,-8.611051364350608],[115.13669093669213,-8.632285212948872],[115.12917131072247,-8.656561324962908],[115.12880922248536,-8.681947716496987],[115.13563490885223,-8.70642365506306],[115.14910626781078,-8.728040500519977],[115.16815162557468,-8.745076926505027],[115.19125483640826,-8.756176133349305],[115.21657600783038,-8.760454069268956],[115.2420982304887,-8.757569975811201],[115.26578854683383,-8.747753586358277],[115.28576021137715,-8.73178678896141],[115.30042318791747,-8.710941229276369],[115.30861080577193,-8.686876871087819],[115.30967246643573,-8.661509657647194],[115.30352507369496,-8.636858872426702],[115.29065920700444,-8.614886389306115],[115.27209968468102,-8.597340611303569],[115.24932377507986,-8.585617486997805],[115.22414363019207,-8.5806496086662],[115.21910000000001,-8.58051134048518]]]}"
12,Mataram,0.2959326954184285,Mataram,"{""type"":""Polygon"",""coordinates"":[[[116.1165,-8.49331134048518],[116.09108602671358,-8.496892059938919],[116.06769366978911,-8.507349384468881],[116.04818403845235,-8.523851426349644],[116.03410987725917,-8.545085303124903],[116.026592038871,-8.569361432346362],[116.02623009636588,-8.594747824746849],[116.03305426024467,-8.619223747564826],[116.0465225369847,-8.640840565571631],[116.06556349148234,-8.657876960971793],[116.08866132996451,-8.66897614364461],[116.11397659672465,-8.673254069353547],[116.13949286637701,-8.670369982834295],[116.1631776696459,-8.660553615302412],[116.18314471025167,-8.64458684796431],[116.19780432314224,-8.623741317091431],[116.20599010022144,-8.599676977475522],[116.20705157772426,-8.574309766573602],[116.20090565928821,-8.549658967068721],[116.1880427939401,-8.5276864573004],[116.16948755374611,-8.510140648601798],[116.14671686687424,-8.498417499127198],[116.12154247805698,-8.493449609003976],[116.1165,-8.49331134048518]]]}"
13,Solo,0.42857109016958345,Solo,"{""type"":""Polygon"",""coordinates"":[[[110.8285,-7.47501134048518],[110.80314932963174,-7.4785921598559755],[110.77981540107248,-7.489049752975545],[110.76035478579014,-7.505552148346185],[110.74631635329926,-7.526786353242904],[110.73881804403729,-7.551062682837886],[110.73845773469992,-7.576449085316713],[110.74526533448864,-7.600924824739047],[110.75870002109963,-7.622541323086307],[110.77769295595567,-7.639577362328656],[110.80073218461956,-7.650676263530427],[110.82598302266993,-7.6549540703385635],[110.85143433508377,-7.652070064616138],[110.87505899033943,-7.642253952349295],[110.8949756001784,-7.626287535041491],[110.90959854960681,-7.605442339687864],[110.91776428911331,-7.581378216358474],[110.91882381324771,-7.556011035030795],[110.91269401032723,-7.531360069192326],[110.8998638949547,-7.509387249112269],[110.88135534711408,-7.4918410829523605],[110.85864158602699,-7.480117640378722],[110.83352992337339,-7.475149612937511],[110.8285,-7.47501134048518]]]}"
14,Sidoarjo,,Sidoarjo,"{""type"":""Polygon"",""coordinates"":[[[112.72310000000002,-7.361011340485182],[112.69775589907309,-7.364592171011648],[112.67442803530598,-7.3750497941189055],[112.65497250999074,-7.39155222895583],[112.64093779044173,-7.412786470485859],[112.63344151395853,-7.437062822450835],[112.63308137965109,-7.462449226053616],[112.63988726373995,-7.486924944999623],[112.65331846411432,-7.508541407658008],[112.6723064111131,-7.525577407137331],[112.69533954922085,-7.536676276914787],[112.72058369060505,-7.540954070448536],[112.74602825129224,-7.538070073746468],[112.76964665578464,-7.528253989978178],[112.78955802675448,-7.512287611749194],[112.80417717020019,-7.4914424538549484],[112.81234083291547,-7.46737835467389],[112.81340015956572,-7.442011176649299],[112.80727203519416,-7.4173601922413726],[112.7944453239289,-7.395387337516551],[112.77594162531274,-7.377841131447071],[112.75323377343146,-7.366117656149349],[112.72812862051674,-7.361149613376689],[112.72310000000002,-7.361011340485182]]]}"
15,Gresik,,Gresik,"{""type"":""Polygon"",""coordinates"":[[[112.65520000000001,-7.066811340485178],[112.62987237409776,-7.070392199774823],[112.60655972100822,-7.0808499002005885],[112.58711696364952,-7.097352436794688],[112.57309156063026,-7.118586772776937],[112.5656003881159,-7.142863182418041],[112.5652406983174,-7.168249588917576],[112.5720422830255,-7.192725255068215],[112.58546474019421,-7.214341625709165],[112.60444017400978,-7.231377522667257],[112.6274580298691,-7.242476311423539],[112.6526853667393,-7.246754070732066],[112.67811298461864,-7.243870097287094],[112.70171570451205,-7.234054086996452],[112.72161393201084,-7.218087809524508],[112.73622352957776,-7.1972427482124886],[112.74438198673442,-7.173178711294278],[112.74544082338038,-7.14781154178725],[112.7393169146578,-7.123160509502295],[112.7264987457108,-7.10118756545251],[112.70800721171778,-7.083641256483012],[112.68531418068001,-7.0719176968114725],[112.66022535321889,-7.066949614509038],[112.65520000000001,-7.066811340485178]]]}"
16,Mojokerto,,Mojokerto,"{""type"":""Polygon"",""coordinates"":[[[112.43450000000001,-7.382111340485181],[112.4091546909735,-7.385692168947303],[112.38582571189018,-7.396149786505382],[112.36636925049382,-7.412652214039129],[112.35233384806303,-7.433886448790232],[112.34483719765848,-7.4581627966156905],[112.34447703107277,-7.483549200010509],[112.35128323061961,-7.508024922745637],[112.36471507210723,-7.529641392008189],[112.38370393643069,-7.546677398845581],[112.40673819470615,-7.557776274438039],[112.43198356775645,-7.562054070428182],[112.45742937023863,-7.559170072056918],[112.48104892436976,-7.549353983015033],[112.50096125883752,-7.53338759755459],[112.51558110220994,-7.512542432728552],[112.52374514679691,-7.488478329078876],[112.52480450967818,-7.463111150443037],[112.51867607652657,-7.43846016947134],[112.50584873916847,-7.416487321157467],[112.48734414873634,-7.3989411224731905],[112.46463521014499,-7.387217653231014],[112.4395288601073,-7.382249613295419],[112.43450000000001,-7.382111340485181]]]}"
